"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D22","CAPC2012N","14.225mm","94.15mm","14.225mm","94.15mm","14.225mm","95mm","T","270.00","RB521S30T1G"
"C75","CAPC2012N","19.125mm","90.35mm","19.125mm","90.35mm","19.975mm","90.35mm","T","180.00","100n"
"U11","SOT89N","18.425mm","93.9mm","17.975mm","93.9mm","19.775mm","92.4mm","T","180.00","78L09"
"R114","RESC2012N","65mm","13.825mm","65mm","13.825mm","65mm","12.925mm","T","90.00","270R"
"T19","SOT23-3N","111.15mm","16.225mm","111.15mm","16.225mm","112.1mm","17.175mm","T","270.00","BC857B"
"T18","SOT23-3N","80.7mm","17.325mm","80.7mm","17.325mm","81.65mm","16.375mm","T","180.00","BC857B"
"R113","RESC2012N","106.175mm","11.225mm","106.175mm","11.225mm","106.175mm","12.125mm","T","270.00","22k"
"R112","RESC2012N","108.45mm","16.425mm","108.45mm","16.425mm","108.45mm","15.525mm","T","90.00","100k"
"R111","RESC2012N","68.5mm","17.325mm","68.5mm","17.325mm","68.5mm","18.225mm","T","270.00","1k"
"R110","RESC2012N","77.8mm","17.325mm","77.8mm","17.325mm","77.8mm","16.425mm","T","90.00","100k"
"R109","RESC2012N","72.4mm","17.325mm","72.4mm","17.325mm","72.4mm","16.425mm","T","90.00","47k"
"R108","RESC2012N","75.1mm","18.525mm","75.1mm","18.525mm","76mm","18.525mm","T","180.00","1M"
"C74","CAPC2012N","70.45mm","17.325mm","70.45mm","17.325mm","70.45mm","18.175mm","T","270.00","1n"
"R106","RESC2012N","104.475mm","84.275mm","104.475mm","84.275mm","105.375mm","84.275mm","T","180.00","3k9"
"R105","RESC2012N","69.35mm","89.425mm","69.35mm","89.425mm","68.45mm","89.425mm","T","360.00","10k"
"D64","CAPC2012N","107.975mm","84.325mm","107.975mm","84.325mm","108.825mm","84.325mm","T","180.00","LED2"
"D63","CAPC2012N","65.85mm","89.375mm","65.85mm","89.375mm","65mm","89.375mm","T","360.00","LED2"
"C72","tantal_B_3528-21","83.3001mm","84.925mm","83.3001mm","84.925mm","85.0101mm","84.925mm","T","180.00","100u"
"C69","tantal_B_3528-21","53.0751mm","63.15mm","53.0751mm","63.15mm","54.7851mm","63.15mm","T","180.00","100u"
"C68","CAPC2012N","40.75mm","60.05mm","40.75mm","60.05mm","40.75mm","60.9mm","T","270.00","10u"
"C59","CAPC2012N","86.65mm","61.45mm","86.65mm","61.45mm","87.5mm","61.45mm","T","180.00","10u"
"C58","CAPC2012N","58.35mm","71.275mm","58.35mm","71.275mm","57.5mm","71.275mm","T","0.00","10u"
"C57","CAPC2012N","62.3mm","49.85mm","62.3mm","49.85mm","61.45mm","49.85mm","T","0.00","10u"
"C56","CAPC2012N","64.425mm","28.175mm","64.425mm","28.175mm","64.425mm","27.325mm","T","90.00","10u"
"C55","CAPC2012N","61.925mm","5.95mm","61.925mm","5.95mm","61.925mm","6.8mm","T","270.00","10u"
"C54","CAPC2012N","75.1mm","20.475mm","75.1mm","20.475mm","74.25mm","20.475mm","T","360.00","10u"
"F1","RESC2012N","43.5mm","59.25mm","43.5mm","59.25mm","44.4mm","59.25mm","T","180.00","JK-SMD0805-035-12V"
"C32","CAPC2012N","89.05mm","26.375mm","89.05mm","26.375mm","89.9mm","26.375mm","T","180.00","100n"
"C31","CAPC2012N","93.625mm","14.55mm","93.625mm","14.55mm","92.775mm","14.55mm","T","0.00","100n"
"V1","CAPC3225N","74.825mm","92.525mm","74.825mm","92.525mm","74.825mm","91.075mm","T","90.00","V18MLA1210NH"
"R104","RESC2012N","44.275mm","20.925mm","44.275mm","20.925mm","45.175mm","20.925mm","T","180.00","1k"
"R103","RESC2012N","44.275mm","22.825mm","44.275mm","22.825mm","45.175mm","22.825mm","T","180.00","100k"
"R48","RESC2012N","62.125mm","21.45mm","62.125mm","21.45mm","61.225mm","21.45mm","T","360.00","10k"
"R47","RESC2012N","65.8mm","18.5mm","65.8mm","18.5mm","64.9mm","18.5mm","T","360.00","1k"
"R46","RESC2012N","83.6mm","17.325mm","83.6mm","17.325mm","83.6mm","18.225mm","T","270.00","1k"
"R45","RESC2012N","108.825mm","19.25mm","108.825mm","19.25mm","109.725mm","19.25mm","T","180.00","1k"
"R44","RESC2012N","105.325mm","14.6mm","105.325mm","14.6mm","104.425mm","14.6mm","T","360.00","100k"
"PR3","POT_SMD_3x3.5","108.9mm","11.7mm","108.9mm","11.675mm","107.9mm","10.075mm","T","360.00","100k"
"D23","CAPC2012N","75.1mm","16.575mm","75.1mm","16.575mm","75.95mm","16.575mm","T","180.00","RB521S30T1G"
"C30","CAPC2012N","111.575mm","21.575mm","111.575mm","21.575mm","111.575mm","20.725mm","T","90.00","100n"
"C29","CAPC2012N","111.675mm","12.1mm","111.675mm","12.1mm","111.675mm","12.95mm","T","270.00","100n"
"C28","CAPC2012N","65.8mm","16.575mm","65.8mm","16.575mm","66.65mm","16.575mm","T","180.00","10n"
"R43","RESC2012N","61.975mm","10.425mm","61.975mm","10.425mm","61.975mm","11.325mm","T","270.00","10k"
"R42","RESC2012N","61.975mm","2.45mm","61.975mm","2.45mm","61.975mm","3.35mm","T","270.00","10k"
"R102","RESC2012N","39.325mm","15.1mm","39.325mm","15.1mm","39.325mm","14.2mm","T","90.00","100k"
"U12","1317A","67.7525mm","79.975mm","68.125mm","79.975mm","66.22mm","75.06mm","T","90.00","MPXH6400A"
"C53","CAPC2012N","85.225mm","93.525mm","85.225mm","93.525mm","85.225mm","94.375mm","T","270.00","10u"
"PR1","POT_SMD_3x3.5","89.2mm","23.475mm","89.175mm","23.475mm","87.575mm","24.475mm","T","270.00","100k"
"PR2","POT_SMD_3x3.5","89.175mm","15.925mm","89.15mm","15.925mm","87.55mm","16.925mm","T","270.00","100k"
"R7","RESC2012N","82.35mm","56.7mm","82.35mm","56.7mm","82.35mm","55.8mm","T","90.00","470R"
"D43","Diode_SMAF_DO-214AD","23.825mm","26.425mm","23.825mm","26.425mm","23.825mm","28.325mm","T","90.00","B340AF-13"
"D42","Diode_SMAF_DO-214AD","23.825mm","20.625mm","23.825mm","20.625mm","23.825mm","18.725mm","T","270.00","B340AF-13"
"D41","Diode_SMAF_DO-214AD","20.575mm","19.35mm","20.575mm","19.35mm","20.575mm","17.45mm","T","270.00","B340AF-13"
"D40","Diode_SMAF_DO-214AD","20.575mm","25.15mm","20.575mm","25.15mm","20.575mm","27.05mm","T","90.00","B340AF-13"
"D17","CAPC2012N","83.15mm","63.45mm","83.15mm","63.45mm","82.3mm","63.45mm","T","360.00","RB521S30T1G"
"D7","CAPC2012N","83.15mm","59.45mm","83.15mm","59.45mm","84mm","59.45mm","T","180.00","RB521S30T1G"
"C17","CAPC2012N","83.15mm","61.45mm","83.15mm","61.45mm","82.3mm","61.45mm","T","360.00","220n"
"C6","CAPC2012N","84.3mm","56.7mm","84.3mm","56.7mm","84.3mm","55.85mm","T","90.00","100n"
"U7","SOP65P780-28N","48.85mm","14.425mm","48.85mm","14.425mm","52.3mm","10.2mm","T","180.00","CY8C24423-24PVXI"
"U10","TO263-3N","92.9mm","89.775mm","94.175mm","89.775mm","88.125mm","92.315mm","T","360.00","LM78M05CD2T"
"U8","SOT23-3N","56.625mm","14.2mm","56.625mm","14.2mm","57.575mm","15.15mm","T","270.00","TL431"
"T17","SOIC127P600-8N","34.125mm","15.0999mm","34.125mm","15.0999mm","36.525mm","13.195mm","T","180.00","AO4882-MS"
"R101","RESC2012N","108.025mm","25.1mm","108.025mm","25.1mm","108.025mm","26mm","T","270.00","100k"
"R100","RESC2012N","56.625mm","17.1mm","56.625mm","17.1mm","57.525mm","17.1mm","T","180.00","100k"
"R99","RESC2012N","39.325mm","7mm","39.325mm","7mm","39.325mm","7.9mm","T","270.00","61R9"
"R98","RESC2012N","42.025mm","14.7mm","42.025mm","14.7mm","42.925mm","14.7mm","T","180.00","10k"
"R96","RESC2012N","39.325mm","11.6mm","39.325mm","11.6mm","39.325mm","10.7mm","T","90.00","10k"
"R95","RESC2012N","42.025mm","8.9mm","42.025mm","8.9mm","41.125mm","8.9mm","T","360.00","120k"
"R94","RESC2012N","42.025mm","18.6mm","42.025mm","18.6mm","42.925mm","18.6mm","T","180.00","1k"
"R93","RESC2012N","56.625mm","9.3mm","56.625mm","9.3mm","55.725mm","9.3mm","T","360.00","1k"
"R92","RESC2012N","42.025mm","12.8mm","42.025mm","12.8mm","42.925mm","12.8mm","T","180.00","1k"
"R91","RESC2012N","51.725mm","7.125mm","51.725mm","7.125mm","51.725mm","8.025mm","T","270.00","1k"
"R90","RESC2012N","49.025mm","7.925mm","49.025mm","7.925mm","49.925mm","7.925mm","T","180.00","1k"
"D62","Diode_SMA_DO-214AC","75.325mm","86.725mm","75.325mm","86.725mm","75.325mm","88.775mm","T","90.00","SMAJ15"
"D60","Diode_SMAF_DO-214AD","79.325mm","93.325mm","79.325mm","93.325mm","77.425mm","93.325mm","T","180.00","B340AF-13"
"C67","CAPC2012N","105.325mm","25.85mm","105.325mm","25.85mm","106.175mm","25.85mm","T","180.00","2n2"
"C66","CAPC2012N","108.825mm","22.325mm","108.825mm","22.325mm","109.675mm","22.325mm","T","180.00","1n"
"C65","CAPC2012N","42.025mm","10.85mm","42.025mm","10.85mm","41.175mm","10.85mm","T","360.00","1u"
"C61","CAPC2012N","42.025mm","16.65mm","42.025mm","16.65mm","41.175mm","16.65mm","T","360.00","10n"
"C60","CAPC2012N","45.525mm","7.875mm","45.525mm","7.875mm","46.375mm","7.875mm","T","180.00","100n"
"C52","CAPC2012N","87.975mm","84.9mm","87.975mm","84.9mm","88.825mm","84.9mm","T","180.00","10u"
"C51","CAPC2012N","83.225mm","93.525mm","83.225mm","93.525mm","83.225mm","92.675mm","T","90.00","100n"
"C50","tantal_D_7343-31","81.55mm","89.45mm","81.55mm","89.45mm","84.75mm","89.45mm","T","180.00","100u"
"D33","Diode_SMAF_DO-214AD","22.4749mm","42.3999mm","22.4749mm","42.3999mm","22.4749mm","40.4999mm","T","270.00","B340AF-13"
"D32","Diode_SMAF_DO-214AD","19.1999mm","40.4999mm","19.1999mm","40.4999mm","19.1999mm","38.5999mm","T","270.00","B340AF-13"
"D31","Diode_SMAF_DO-214AD","23.825mm","34.4249mm","23.825mm","34.4249mm","23.825mm","36.3249mm","T","90.00","B340AF-13"
"D30","Diode_SMAF_DO-214AD","20.55mm","32.1999mm","20.55mm","32.1999mm","20.55mm","30.2999mm","T","270.00","B340AF-13"
"C71","CAPC2012N","57.475mm","73.275mm","57.475mm","73.275mm","58.325mm","73.275mm","T","180.00","10u"
"T14","SOIC127P600-8N","29.375mm","20.65mm","29.375mm","20.65mm","31.775mm","18.745mm","T","180.00","AO4882-MS"
"T13","SOIC127P600-8N","29.375mm","26.55mm","29.375mm","26.55mm","31.775mm","24.645mm","T","180.00","AO4882-MS"
"R88","RESC2012N","36mm","27.2mm","36mm","27.2mm","36mm","26.3mm","T","90.00","100k"
"R87","RESC2012N","35.975mm","22.175mm","35.975mm","22.175mm","35.975mm","21.275mm","T","90.00","100k"
"R86","RESC2012N","34.075mm","26.275mm","34.075mm","26.275mm","34.075mm","27.175mm","T","270.00","100k"
"R85","RESC2012N","34.075mm","20.375mm","34.075mm","20.375mm","34.075mm","21.275mm","T","270.00","100k"
"R83","RESC2012N","55.1mm","33.025mm","55.1mm","33.025mm","56mm","33.025mm","T","180.00","1k"
"R82","RESC2012N","38.675mm","24.35mm","38.675mm","24.35mm","39.575mm","24.35mm","T","180.00","1k"
"R81","RESC2012N","55.1mm","31.125mm","55.1mm","31.125mm","56mm","31.125mm","T","180.00","1k"
"R80","RESC2012N","38.675mm","22.45mm","38.675mm","22.45mm","39.575mm","22.45mm","T","180.00","1k"
"U3","SOIC-OA8_N","59.55mm","77.025mm","59.55mm","77.025mm","61.95mm","75.12mm","T","180.00","TC4427COA"
"T12","TO263-3N","31.75mm","65.175mm","30.475mm","65.175mm","36.525mm","62.635mm","T","180.00","STGB18N40LZT4"
"T11","TO263-3N","48.2mm","77.875mm","46.925mm","77.875mm","52.975mm","75.335mm","T","180.00","STGB18N40LZT4"
"R73","RESC2012N","51.25mm","68.575mm","51.25mm","68.575mm","52.15mm","68.575mm","T","180.00","10R"
"R72","RESC2012N","51.25mm","66.675mm","51.25mm","66.675mm","52.15mm","66.675mm","T","180.00","10R"
"R71","RESC2012N","52.775mm","90.875mm","52.775mm","90.875mm","52.775mm","89.975mm","T","90.00","10R"
"R68","RESC2012N","98.15mm","74.2mm","98.15mm","74.2mm","98.15mm","75.1mm","T","270.00","100k"
"R67","RESC2012N","103.875mm","74.2mm","103.875mm","74.2mm","103.875mm","75.1mm","T","270.00","100k"
"R66","RESC2012N","105.775mm","74.2mm","105.775mm","74.2mm","105.775mm","75.1mm","T","270.00","100k"
"R63","RESC2012N","100.05mm","74.2mm","100.05mm","74.2mm","100.05mm","75.1mm","T","270.00","1k"
"R62","RESC2012N","101.975mm","74.2mm","101.975mm","74.2mm","101.975mm","75.1mm","T","270.00","1k"
"R61","RESC2012N","107.675mm","74.2mm","107.675mm","74.2mm","107.675mm","75.1mm","T","270.00","1k"
"U2","SOIC-OA8_N","59.55mm","82.825mm","59.55mm","82.825mm","61.95mm","80.92mm","T","180.00","TC4427COA"
"R65","RESC2012N","111.475mm","74.2mm","111.475mm","74.2mm","111.475mm","75.1mm","T","270.00","100k"
"R60","RESC2012N","109.575mm","74.2mm","109.575mm","74.2mm","109.575mm","75.1mm","T","270.00","1k"
"T10","TO263-3N","31.725mm","79.175mm","30.45mm","79.175mm","36.5mm","76.635mm","T","180.00","STGB18N40LZT4"
